index,name,year,composer,type
2826,Reublin/Cubanola Glide  The.mid,1909,"Von Tilzer, Harry",R
3367,Reublin/Dizzy Fingers.mid,1923,"Confrey, Zez",N
4234,Reublin/Flapper Walk  The.mid,1922,"Weston, Willie & Smith, Chris",S
5564,Reublin/Honey Lu.mid,1922,"Donaldson, Walter",S
7207,Reublin/Koo-Kee-Koo.mid,1922,"Brown, Nacio Herb",S
9332,Reublin/Old Grey Mare  The.mid,1915,"Panella, Frank",S
9537,Reublin/Oriental Eyes.mid,1922,"Whiteman, Paul & Große, Ferdie",S
10402,Reublin/Put Me To Sleep With An Old Fashioned Melody.mid,1915,"Jentes, Harry",S
11582,Reublin/Roosevelt March.mid,1910,"Wenrich, Percy ",M
11599,Reublin/Rose Room .mid,1917,"Hickman, Art",S
12978,Reublin/Stumbling.mid,1922,"Confrey, Zez",N
13987,Reublin/Those Flippity Floppety Flappers.mid,1922,"Johnson, Howard, Pease, Harry & Schuster, Ira",P
4249,"Decker, Kermit, Laura, Morgan, MSN, Midibiz and bTd/Flim Flam Man.mid",2005,"St Germaine, Arthur",Y
10885,"Decker, Kermit, Laura, Morgan, MSN, Midibiz and bTd/Ragtime For Bedtime.mid",1999,"Paterson, Jim",Y
11829,"Decker, Kermit, Laura, Morgan, MSN, Midibiz and bTd/Sandy's Rag.mid",2002,"Webbe, Kit",Y
397,Misc Sequencers M-R/Angel Rag.mid,2000,"Cowles, John",Y
1023,Misc Sequencers M-R/Bird-Bath Rag.mid,2004,"O'Dell, Ron",Y
1162,Misc Sequencers M-R/Blood.mid,2000,"Muromachi, Kazutaka                                               ",Y
1947,Misc Sequencers M-R/Cat's Cradle.mid,2001,"Muromachi, Kazutaka                                               ",Y
2279,Misc Sequencers M-R/Cleopatra's Asp.mid,2001,"McClellan, George",Y
2678,Misc Sequencers M-R/Counterfeit Rag.mid,2000,"Palmer, Luke",Y
2759,Misc Sequencers M-R/Creek Street.mid,1997,"McClellan, George",Y
3205,Misc Sequencers M-R/Devil's Hayride.mid,2000,"McClellan, George",Y
3808,Misc Sequencers M-R/Elizabethan Rag.mid,1998,"Rowland, William",Y
4143,Misc Sequencers M-R/FIFI.mid,1998,"McClellan, George",Y
4568,Misc Sequencers M-R/Funny Papers Rag.mid,2004,"Newstead, Rachel",Y
4991,Misc Sequencers M-R/Grace and Propriety.mid,1996,"McClellan, George",y
7100,Misc Sequencers M-R/Khartoum.mid,1996,"McClellan, George",Y
9095,Misc Sequencers M-R/Nogalese Sunset.mid,n/a,"Newstead, Rachel",Y
10380,Misc Sequencers M-R/Puppy Dog Rag.mid,2004,"O'Dell, Ron",Y
10542,"Misc Sequencers M-R/Rag For Rosinante, A.mid",2002,"McClellan, George",Y
10934,Misc Sequencers M-R/Ragtime Man Rag.mid,2003,"Muromachi, Kazutaka                                               ",Y
11908,Misc Sequencers M-R/Scarecrow Rag.mid,1911,"Morrison, Will B.",R
12357,Misc Sequencers M-R/Slippery Fingers.mid,1927,"Steele, Henry",N
12552,Misc Sequencers M-R/Somnambulation Rag.mid,2001,"McClellan, George",Y
12952,Misc Sequencers M-R/Stride With Me.mid,2001,"Oshihiro, Okuda                                                  ",Y
13566,Misc Sequencers M-R/TGIF Rag.mid,1994,"McClellan, George",Y
14084,Misc Sequencers M-R/Tin Lizzy.mid,1993,"McClellan, George",Y
15432,Misc Sequencers M-R/Yellow Dog Rag  The .mid,1914,"Handy, W. C.",S
115,MacDonald/African Pas'.mid,1902,"Kirwin, Maurice",R
158,MacDonald/Aint I Lucky?.mid,1905,"Rudisill, Bess E.",R
344,MacDonald/Amazon Rag  The.mid,1904,"Hahn, Teddy",R
421,MacDonald/Anoma.mid,1910,"Dabney, Ford T. ",R
516,MacDonald/Armadillo.mid,1911,"Brown, Clarence F.  ",R
536,MacDonald/Ashy Africa.mid,1902,"Wenrich, Percy",R
602,MacDonald/Atlanta Rag.mid,1922,"Davenport, Charles ""Cow Cow""",R
795,MacDonald/Bantam Step.mid,1916,"Jentes, Harry",R
803,MacDonald/Barbed Wire Rag.mid,1910,"Spencer, Herbert",R
926,MacDonald/Belle Of The Creoles.mid,1899,"Guy, Harry P.",R
986,MacDonald/Big Foot Lou.mid,1899,"Gearen, Joseph",R
1058,"MacDonald/Black Bawl, A.mid",1905,"Thompson, Harry C.",R
1114,"MacDonald/Black Smoke, A.mid",1902,"Johnson, Charles L.",R
1190,MacDonald/Blue Goose.mid,n/a,"Johnson, Charles L. (as Birch, Raymond)",R
1287,MacDonald/Bohemia.mid,1919,"Lamb, Joseph F.",R
1301,MacDonald/Bolo Rag  The.mid,1907,"Gumble, Albert",R
1364,MacDonald/Bowery Buck.mid,1899,"Turpin, Tom",R
1401,"MacDonald/Breeze From Alabama, A.mid",1902,"Joplin, Scott",M
1452,MacDonald/Broncho Billy.mid,1914,"Slaughter, Nell Wright (nee Watson)",R
1520,MacDonald/Buffalo Rag  The.mid,1904,"Turpin, Tom",R
1537,MacDonald/Bugs Rag.mid,1913,"Kohler, Nina B.",R
1561,MacDonald/Bunch O' Blackberries.mid,1899,"Holzmann, Abe",R
1747,MacDonald/Calla Lilly.mid,1907,"Solomons, Nat E. (as Thane, Logan)",R
1765,MacDonald/Campin' On De Ole Suwanee .mid,1899,"Smith, Lee Orean",S
1781,MacDonald/Canadian Capers.mid,1905,"LeProtti, Sidney, Chandler, Gus, White, Bert, Cohen, Henry & Burnett, Earl ",P
1803,MacDonald/Candy  The.mid,1909,"Jones, Clarence M.",R
1811,MacDonald/Cannon Ball  The.mid,1905,"Northup, Joseph C.",R
1917,MacDonald/Castle House Rag.mid,1914,"Europe, James Reese",R
2078,MacDonald/Chestnuts.mid,1906,"Wenrich, Percy",R
2137,MacDonald/Chills And Fever.mid,1912,"Bennett, Theron C.  ",R
2271,MacDonald/Cleanin' Up In Georgia.mid,1899,"Guy, Harry P.",R
2289,MacDonald/Climbers  The.mid,1911,"Sizemore, Arthur L.",R
2369,MacDonald/Colonial Glide.mid,1910,"Pratt, Paul Charles",R
2517,MacDonald/Coon Hollow Capers.mid,1899,"Gillis, Frank R.",S
2637,MacDonald/Cotton Bolls.mid,1901,"Hunter, Charles H.",R
2665,MacDonald/Cotton Time.mid,1910,"Daniels, Charles N.",M
2766,MacDonald/Creole Belles.mid,1900,"Lampe, J. Bodewalt",M
2782,MacDonald/Crimson Rambler.mid,1911,"Tierney, Harry Austin",R
2842,MacDonald/Cum Bac.mid,1911,"Johnson, Charles L.",R
2866,"MacDonald/Cyclone In Darktown, A.mid",1910,"Barnard, George D.",R
2907,MacDonald/Dakota Rag.mid,1899,"Anderson, O. H.",R
3258,MacDonald/Dingle Pop Hop.mid,1911,"Tierney, Harry Austin",R
3261,"MacDonald/Dingy Slowdown, A.mid",1900,"Hoffman, Robert",R
3328,MacDonald/Dixie Girl.mid,1903,"Lampe, J. Bodewalt",M
3378,MacDonald/Doc. Brown's Cake Walk.mid,1899,"Johnson, Charles L.",R
3482,MacDonald/Dope.mid,1909,"Polla, William C. (as Powell, W. C.)",R
3522,MacDonald/Down Home Rag.mid,1911,"Sweatman, Wilbur C. S.",R
3656,MacDonald/Dusty.mid,1908,"Aufderheide, May Frances",R
3707,MacDonald/Eatin' Time.mid,1913,"Cozad, Irene",R
3884,MacDonald/Ethiopia Rag.mid,1909,"Lamb, Joseph F.",R
4078,MacDonald/Fascinator  The.mid,1903,"Scott, James",M
4224,MacDonald/Fizz Water.mid,1914,"Blake, Eubie",R
4305,MacDonald/Flying Arrow.mid,1906,"Holzmann, Abe",I
4468,MacDonald/Fried Chicken Rag.mid,1912,"Day, Ella Hudson",R
4539,MacDonald/Frozen Bill.mid,1909,"Pryor, Arthur",R
4566,MacDonald/Funny Folks.mid,1904,"Polla, William C. (as Powell, W. C.)",M
4640,MacDonald/Gasoline Rag.mid,1906,"Mentel, Louis H.",R
4800,MacDonald/Glad Cat Rag.mid,1905,"Nash, Will",R
4849,MacDonald/Gobbler's Gambol.mid,1913,"Grooms, Calvin",N
4882,MacDonald/Golden Deer.mid,1911,"Wenrich, Percy",I
4894,MacDonald/Golden Spider.mid,1910,"Johnson, Charles L.",R
4961,MacDonald/Good-bye Old Gal Good-bye.mid,1906,"Darden, Mac (arr. Joplin, Scott)",S
5088,MacDonald/Gum Shoe.mid,1917,"Stark, E. J.",F
5120,MacDonald/Halley's Comet.mid,1910,"Lincoln, Harry J.",R
5192,MacDonald/Happy Heinie.mid,1905,"Lampe, J. Bodewalt",M
5520,MacDonald/Holy Moses.mid,1906,"Polla, William C. (as Seymour, Cy)",R
5570,MacDonald/Honey Rag.mid,1909,"Van Alstyne, Egbert",R
5665,MacDonald/Hot Chocolate.mid,1908,"Franklin, Malvin M. & Lange, Arthur W. ",R
6088,MacDonald/Ida-Ho!.mid,1906,"Von Tilzer, Harry",S
6289,MacDonald/Impecunious Davis.mid,1899,"Mills, Kerry",M
6367,MacDonald/In Tokio.mid,1904,"Nirella, S.",M
6607,MacDonald/J.J.J. Rag.mid,1905,"Jordan, Joe",R
6642,MacDonald/Jamaica Jinjer.mid,1912,"Van Alstyne, Egbert",R
6926,MacDonald/Just Ask Me.mid,1902,"Hunter, Charles H.",M
6971,MacDonald/Kalamity Kid.mid,1909,"Guttenberger, Jnr, Ferdinand Alexander",R
7441,MacDonald/Levee Revels.mid,1898,"O'Hare, Wm Christopher",R
7569,MacDonald/Live Wires Rag.mid,1909,"Shepherd, Adaline",R
7862,MacDonald/Majestic Rag.mid,1914,"Rawls, Ben & Neel, Royal",R
8052,MacDonald/Mashed Potatoes.mid,1911,"Woolsey, Calvin Lee",R
8117,MacDonald/Medic Rag.mid,1910,"Woolsey, Calvin Lee",R
8169,MacDonald/Memphis Blues  The.mid,1912,"Handy, W. C.",B
8433,MacDonald/Mocking Bird Rag.mid,1912,"Straight, Charles",M
8444,MacDonald/Modesty Rag.mid,1920,"Scott, James",R
8531,MacDonald/Moose Rag.mid,1910,"Johnson, Ted",R
8577,MacDonald/Motor Bus.mid,1914,"Houston, Annie",R
8650,MacDonald/Music Box Rag  The.mid,1912,"Jackson, Arthur J.",S
8669,MacDonald/My Ann Elizer.mid,1898,"Williams, Malcolm",S
8847,MacDonald/Nappy Lee.mid,1903,"Jordan, Joe",R
9285,MacDonald/Oh  You Devil.mid,1909,"Dabney, Ford T. ",R
9379,MacDonald/Old Virginia Rag.mid,1907,"Douglass, Clyde D.",M
9395,MacDonald/Ole Virginny Barbecue.mid,1899,"Andino, J. E.",M
9419,MacDonald/On Easy Street.mid,1901,"MacEachron, J. Reginald",M
9420,MacDonald/On Emancipation Day.mid,1902,"Cook, Will Marion",M
9478,MacDonald/One O' Them Things?.mid,1904,"Chapman, James & Smith, Leroy",R
9768,MacDonald/Peaceful Henry.mid,1901,"Kelly, E. Harry",R
9775,MacDonald/Peaches And Cream.mid,1905,"Wenrich, Percy",R
10149,MacDonald/Poison Rag.mid,2009,"Radna, Rudolf B.",Y
10305,MacDonald/Pride Of Bucktown  The.mid,1897,"Roberts, Robert S.",R
10428,MacDonald/Queen Of Love.mid,1901,"Hunter, Charles H.",R
10440,MacDonald/Queen Rag  The.mid,1911,"Willis, Floyd H.",R
10441,MacDonald/Queen Raglin.mid,1902,"Henrich, A. E.",R
10585,MacDonald/Rag Pickers Rag  The.mid,1901,"O'Brien, Robert J.",R
10601,MacDonald/Rag Time Chimes.mid,1911,"Wenrich, Percy",R
10649,MacDonald/Rag-Alley Dream.mid,1902,"Burgess, Mattie Harl",R
10705,MacDonald/Ragged Terry.mid,1913,"White, Margaret Agnew",R
10750,MacDonald/Raggy Rag.mid,1909,"Willis, Floyd H.",M
10778,MacDonald/Rags And Tatters.mid,1900,"Clark, Jnr, Edward",M
10780,MacDonald/Rags To Burn.mid,1899,"McFadden, Frank X.",R
10966,MacDonald/Ragtime Oriole.mid,1911,"Scott, James",R
11053,MacDonald/Ragtime Violin!.mid,1911,"Berlin, Irving",S
11166,MacDonald/Rats!!!.mid,1914,"Miller, M. Kendree",R
11169,MacDonald/Rattler Rag  The.mid,1912,"Wells, Susie",R
11355,MacDonald/Reindeer.mid,1915,"Lamb, Joseph F.",R
11643,MacDonald/Royal Flush.mid,1911,"Botsford, George",R
11838,MacDonald/Sapho Rag.mid,1909,"Robinson, J. Russel",R
11850,MacDonald/Saskatoon.mid,1915,"Goldberg, Phil",R
11949,MacDonald/Scroochin' Up Rag.mid,1911,"Martin, Lena",R
12054,MacDonald/Shake Yo' Dusters.mid,1898,"Krell, William H.",R
12063,MacDonald/Shamrock Rag.mid,1916,"Bowman, Euday L.",R
12082,MacDonald/Sheath  The.mid,1908,"Weigel, William E. ",R
12327,MacDonald/Sleepy Lou.mid,1906,"Giblin, Irene M.",R
12332,MacDonald/Sleepy Sidney.mid,1907,"Scheu, Archie W.",R
12392,MacDonald/Smiler  The.mid,1907,"Wenrich, Percy",R
12457,MacDonald/Snowball Babe.mid,1900,"Flick, C. Roland",R
12599,MacDonald/Sour Grapes.mid,1912,"Morrison, Will B.",R
12922,MacDonald/Stoptime.mid,1910,"Joplin, Scott",R
13038,"MacDonald/Summer Breeze, A.mid",1903,"Scott, James",M
13140,MacDonald/Sure Fire Rag.mid,1910,"Lodge, Thomas Henry",R
13158,MacDonald/Swamptown Shuffle.mid,1902,"Jones, Harry W.",R
13264,MacDonald/Swipesy.mid,1900,"Joplin, Scott & Marshall, Arthur",R
13504,MacDonald/Temptation Rag.mid,1909,"Lodge, Thomas Henry",R
13533,"MacDonald/Tennessee Tantalizer, A.mid",1900,"Hunter, Charles H.",R
13552,MacDonald/Texas Fox Trot.mid,1915,"Guion, David W.",F
