index,name,year,composer,type
5030,Crausaz and Orton/Greased Lightning.mid,n/a,"Lamb, Joseph F.",R
5117,Crausaz and Orton/Halifax Rag.mid,1910,"Carter, H. D.",R
5147,Crausaz and Orton/Handy Andy.mid,1900,"Friedman, Leo",M
5228,Crausaz and Orton/Hard Boiled Rag.mid,1910,"Mentel, Louis H.",R
5421,Crausaz and Orton/Higgledy Piggledy.mid,1902,"Schönbrun, S.",R
5431,Crausaz and Orton/High Life.mid,1952,"Gordon, Thomas (Tom) Renton",R
5458,Crausaz and Orton/Hilda.mid,1910,"Stentz, E. Wood",R
5491,Crausaz and Orton/Hocus Pocus Rag.mid,1910,"Reiterman, Lewis",R
5557,Crausaz and Orton/Honey I'm Waitin'.mid,1904,"Barron, Ted S.",S
5717,"Crausaz and Orton/Hot Wave, A.mid",1901,"Meiler, Charles",M
5754,Crausaz and Orton/How Reuben Does The Rag.mid,1902,"Cone, Chas E.",M
6481,Crausaz and Orton/Isadore Two Step.mid,1908,"Metcalf, Nellie Smith",R
6676,Crausaz and Orton/Jazz.mid,n/a,"Brunetti, Osvaldo",R
6827,Crausaz and Orton/Jolly Roger.mid,1970,"Gordon, Thomas (Tom) Renton",R
6904,Crausaz and Orton/Jungle  The.mid,1905,"Gumble, Mose",M
7088,Crausaz and Orton/Kewpie.mid,1929,"Rose, Gene",N
7194,Crausaz and Orton/Knights Templar March.mid,1899,"Fritz, Rose",M
7204,Crausaz and Orton/Koko Bolo Two-Step.mid,1903,"Stickney, Charles R.",R
7248,Crausaz and Orton/Lady With The Red Dress.mid,1900,"O'Brien, Robert J.",M
7574,Crausaz and Orton/Liza.mid,1906,"Ralya, Edna (as Rallya, Leila)",R
7588,Crausaz and Orton/Lock The Barn!.mid,1927,"Dixon, Harold",N
7799,Crausaz and Orton/Ma Mobile Babe.mid,1899,"Klohr, John N.",R
7943,Crausaz and Orton/Mandy Lou's Cakewalk.mid,1966,"Gordon, Thomas (Tom) Renton",R
7969,Crausaz and Orton/Maori.mid,1908,"Tyers, William H.",R
8062,"Crausaz and Orton/Matchmaker,The.mid",1903,"Daughtry, Rozier",M
8134,Crausaz and Orton/Melancholy Mose.mid,1902,"Jerome, Benjamin M.",S
8181,Crausaz and Orton/Mentel's Maxixe.mid,1914,"Mentel, Louis H.",R
8479,Crausaz and Orton/Monkey Motion Rag.mid,1911,"Keenan, O. E.",R
8742,Crausaz and Orton/My Kickapoo.mid,1904,"Von Tilzer, Harry",R
8767,Crausaz and Orton/My Maryland Babe.mid,1901,"Yardley, Charles F.",M
9232,"Crausaz and Orton/Oh You, Sally Rag.mid",1911,"Jones, Clarence M.",R
9315,Crausaz and Orton/Old Black Joe.mid,1914,"Foster, Stephen C. (arr. Morrison, Will B.)",W
9451,Crausaz and Orton/On The Turf At Saratoga.mid,1904,"Lappe, W. de Forest",M
9453,Crausaz and Orton/On the Wharf.mid,1905,"Stone, Charles L.",M
9501,Crausaz and Orton/Onward To Berlin.mid,1918,"Hoenig, Max",S
9565,Crausaz and Orton/Ostende  The.mid,1910,"Goldman, Maxwell",R
9771,Crausaz and Orton/Peach Blossoms.mid,1910,"Gilmore, Maude Muller",R
9780,Crausaz and Orton/Peacock Strut.mid,1917,"""Friscoe"", Lou Chiha & Martyn, ?",F
10058,Crausaz and Orton/Ping Pong.mid,1902,"Fox, Samuel",M
10222,Crausaz and Orton/Possum And The Coon  The.mid,1901,"Wilson, Edwin E.",R
10223,Crausaz and Orton/Possum Barbecue  The.mid,1899,"Martin, John",R
10238,Crausaz and Orton/Postal  The.mid,1902,"Vogt, M.",M
10299,Crausaz and Orton/Pretty Thing.mid,1987,"Gordon, Thomas (Tom) Renton",R
10309,Crausaz and Orton/Pride Of The Smoky Row.mid,1911,"Wilcockson, Joseph M.",R
10385,Crausaz and Orton/Purdue Spirit  The.mid,1909,"Freeberg, Edward J.",R
10423,Crausaz and Orton/Queen City Girl.mid,1907,"Weaver, Herbert Wynne",R
10521,Crausaz and Orton/Rag Elegante.mid,1970,"Gordon, Thomas (Tom) Renton",R
10537,"Crausaz and Orton/Rag For Michael, A.mid",2007,"Cookes, Jeremy",Y
10587,Crausaz and Orton/Rag Pickings.mid,1898,"Lansing, George L.",R
10611,Crausaz and Orton/Rag Time Insanity.mid,1900,"Praetorius, Chris",R
10922,"Crausaz and Orton/Rag-Time Joke, A.mid",1905,"Burke, Andy L. ",M
10698,Crausaz and Orton/Ragged Rapids Rag.mid,n/a,"Lamb, Joseph F.",R
10754,Crausaz and Orton/Raggy-Raggers  The.mid,1899,"Schwartz, Jean (as Lipson, Howard)",R
10971,Crausaz and Orton/Ragtime Patrol  The.mid,1897,"Hamilton, R. J.",R
11189,Crausaz and Orton/Razor Park March.mid,1898,"Hendrihs, Frank",M
11295,Crausaz and Orton/Red Hots.mid,1907,"Pulfrey, Herbert G.",M
11386,Crausaz and Orton/Restless Rag.mid,1908,"Cook, Sarah E.",R
11451,Crausaz and Orton/Rig-a-Jig.mid,1912,"Ayer, Nat D.",R
11596,Crausaz and Orton/Rose De Haven's Devil March.mid,1908,"De Haven, Rose",M
11718,Crausaz and Orton/Rusty Dusty.mid,1899,"Mullen, Robert A.",n
11733,Crausaz and Orton/S. R. Henry's Barn Dance.mid,1908,"Henry*, S. R.",R
11874,Crausaz and Orton/Savannah Side-Swing  The.mid,1912,"Loeb-Evans, Matilee",R
11906,Crausaz and Orton/Scan'lous Ephraim.mid,1899,"Schmid, Johann C.",R
12073,Crausaz and Orton/She Doesn't Seem To Care About Me.mid,1903,"Jerome, William & Schwartz, Jean",S
12209,Crausaz and Orton/Silver Flash.mid,1977,"Gordon, Thomas (Tom) Renton",R
12464,Crausaz and Orton/Snuffuns.mid,1927,"Dixon, Harold",N
12565,Crausaz and Orton/Songster's Tune.mid,1995,"Sanderson, Ana (maybe Marks, Anthony)",Y
12688,Crausaz and Orton/Sparklette.mid,1952,"Gordon, Thomas (Tom) Renton",R
12829,Crausaz and Orton/State Normal March  The.mid,1908,"Schricker, Marton C.",R
13175,Crausaz and Orton/Sweet Alfarata.mid,1902,"Retzlaff, Martha",M
13189,Crausaz and Orton/Sweet Dreams Of Youth.mid,1905,"English, George W.",R
13219,Crausaz and Orton/Sweet Potatoes.mid,1906,"Ringleben, Justin",R
13254,Crausaz and Orton/Swellest In Town.mid,1903,"Heckard, Bessie Blanton",n
13315,Crausaz and Orton/Syncopation.mid,1914,"Kibbey, Violet Snow",n
13431,Crausaz and Orton/Tantalizer Rag  The.mid,1916,"Butler, Frank S. ",R
14063,Crausaz and Orton/Tierney Rag  The.mid,1913,"Tierney, Harry Austin",R
14087,Crausaz and Orton/Tin Pan Brigade  The.mid,1902,"Rosenfeld, Monroe H.",R
14141,Crausaz and Orton/Toggle-Jointed Toby.mid,1901,"Wattles, Aldin G.",R
14201,Crausaz and Orton/Topsy's Night Out.mid,1900,"Cary, Edwin C.",R
14321,Crausaz and Orton/Tripoli.mid,1928,"Jordan, Hayley",R
14330,"Crausaz and Orton/Trombone Nightmare, A.mid",1910,"Weekes, Ralph",R
14432,Crausaz and Orton/Twin City  The.mid,1902,"Cox, W. T.",R
14443,Crausaz and Orton/Twister  The.mid,1969,"Gordon, Thomas (Tom) Renton",R
14513,Crausaz and Orton/Uncle Sam's Favorite.mid,1905,"Fulton, James M. ",M
14543,Crausaz and Orton/Unique.mid,1902,"O'Brien, Robert J.",M
14699,Crausaz and Orton/Virginia Shuffle  The.mid,1901,"Lowell, G. L. ",R
14759,Crausaz and Orton/Walkin' And Talkin'.mid,1906,"Guy, Harry P.",R
14898,Crausaz and Orton/Wedding Cake  The.mid,1903,"Neilsson, Hjalmar Frithiof",M
14909,Crausaz and Orton/Wedding Of The Painted Doll  The.mid,1929,"Brown, Nacio Herb",N
15282,Crausaz and Orton/Winn's Rag.mid,n/a,"Winn, Edward R.",R
15278,Crausaz and Orton/Winnie's Arrival.mid,1903,"Ralya, Edna",R
15280,Crausaz and Orton/Winnin' Coon    De.mid,1901,"Young, Erma",R
15411,Crausaz and Orton/Yankee Dude.mid,1907,"Lampe, J. Bodewalt",M
31,Misc Sequencers  A-E/20th Century Stomp.mid,1995,"Bogatko, George",N
453,Misc Sequencers  A-E/A-Parrot-Tefe.mid,1996,"Goodman, Stephen Kent",Y
851,Misc Sequencers  A-E/BBD Rag.mid,1994,"Chew, Dr",Y
833,Misc Sequencers  A-E/Barwick Apartments Romp  The.mid,1994,"Andris, James F.",Y
882,Misc Sequencers  A-E/Beaver Rag.mid,1972,"Anderson, Rod",Y
1035,Misc Sequencers  A-E/Bisbee Rag  The.mid,2000,"Williams, Jeff",Y
1155,Misc Sequencers  A-E/Blissful Syncopations.mid,2006,"Cardenas, Jaime",Y
2855,Misc Sequencers  A-E/Customs Officer  The.mid,2006,"Dee, Jim",Y
3596,Misc Sequencers  A-E/Dreamy Draw.mid,2002,"Davis, Gary L.",Y
4338,Misc Sequencers  A-E/Footrot Rag.mid,2000,"Davidson, Hamish",Y
4995,Misc Sequencers  A-E/Graduation March  The.mid,2000,"Davidson, Hamish",y
5440,Misc Sequencers  A-E/High Speed Highway.mid,2001,bold Symphony                                          ,Y
5677,Misc Sequencers  A-E/Hot Garbage.mid,2001,"Davidson, Hamish",Y
5984,Misc Sequencers  A-E/I Never Knew How Much I Loved You.mid,1925,"Ringle, Dave, Diamond, Phoebe & Spear, Burt W.",S
6324,Misc Sequencers  A-E/In Lamb's Clothing.mid,2004,"Davis, Gary L.",Y
7383,Misc Sequencers  A-E/Lemon Blossoms.mid,1997,"Davis, Gary L.",Y
7497,Misc Sequencers  A-E/Linger A While.mid,1923,"Rose, Vincent",S
7748,Misc Sequencers  A-E/Lucky Luke's Ragtime.mid,1988,"Dejonghe, Koen",Y
7864,Misc Sequencers  A-E/Major Rag.mid,2006,"Cardenas, Jaime",Y
7873,Misc Sequencers  A-E/Makin' You Nervous.mid,2003,"Dosztán, Dénes ",Y
7966,Misc Sequencers  A-E/Man's Feelings.mid,2003,bold Symphony                                          ,Y
8635,Misc Sequencers  A-E/Multicultural Rag.mid,2001,"Davidson, Hamish",Y
9513,"Misc Sequencers  A-E/Open Her Up, Pat!.mid",2007,"Dee, Jim",Y
9677,Misc Sequencers  A-E/Paradies Goes Ragtime.mid,2003,"Buttall, Philip R.",Y
10089,Misc Sequencers  A-E/Pittsburgh Hottie  The.mid,2005,"Dee, Jim",Y
10828,Misc Sequencers  A-E/Ragtime Buddy.mid,2003,"Cardenas, Jaime",Y
10992,Misc Sequencers  A-E/Ragtime Rendezvous.mid,1997,"Andris, James F.",Y
12489,Misc Sequencers  A-E/Soda Fountain Rag.mid,1913,"Ellington, Duke",R
13042,Misc Sequencers  A-E/Summer Feel.mid,2003,bold Symphony                                                  ,Y
13512,Misc Sequencers  A-E/Ten Twenty-Seven  The.mid,2007,"Dee, Jim",Y
13764,Misc Sequencers  A-E/That Peachy Keen Rag.mid,2004,"Cardenas, Jaime",Y
14216,Misc Sequencers  A-E/Tournament Galop.mid,n/a,"Gottschalk, Louis Moreau",n
14421,Misc Sequencers  A-E/Twelve Twenty-Three.mid,2007,"Dee, Jim",Y
14923,Misc Sequencers  A-E/Weetabix Rag.mid,2001,"Lydiat, Mike",Y
15122,Misc Sequencers  A-E/Whiskey Row Rag.mid,1981,"Davis, Gary L.",Y
1024,Trachtman/Bird-Brain Rag.mid,1959,"Lamb, Joseph F.",R
2002,Trachtman/Champagne Rag.mid,1910,"Lamb, Joseph F.",M
2673,Trachtman/Cottontail Rag.mid,n/a,"Lamb, Joseph F.",R
3756,Trachtman/Efficiency Rag.mid,1917,"Scott, James",R
3839,Trachtman/Encore Rag.mid,1912,"Fischer, Tad",R
3922,Trachtman/Evergreen Rag.mid,1915,"Scott, James",R
4096,Trachtman/Favorite  The.mid,1904,"Joplin, Scott",R
4510,Trachtman/Frog Legs Rag.mid,1906,"Scott, James",R
4817,Trachtman/Gladiolus Rag.mid,1907,"Joplin, Scott",R
5042,Trachtman/Great Scott Rag.mid,1909,"Scott, James",R
5248,Trachtman/Harlem Rag.mid,1897,"Turpin, Tom",R
5457,Trachtman/Hilarity Rag.mid,1910,"Scott, James",R
5568,Trachtman/Honey Moon Rag.mid,1916,"Scott, James",R
7477,Trachtman/Lily Queen.mid,1907,"Marshall, Arthur",R
8927,Trachtman/New Era Rag.mid,1919,"Scott, James",R
9105,Trachtman/Nonpareil  The.mid,1907,"Joplin, Scott",R
9551,Trachtman/Original Rags.mid,1899,"Joplin, Scott",R
9641,Trachtman/Palm Leaf Rag.mid,1903,"Joplin, Scott",R
9765,Trachtman/Peace And Plenty Rag.mid,1919,"Scott, James",R
9774,Trachtman/Peacherine Rag.mid,1901,"Joplin, Scott",R
10234,Trachtman/Possum Rag.mid,1907,"Dobyns, Geraldine",R
13070,Trachtman/Sunburst Rag.mid,1909,"Scott, James",R
640,Roache/Aura Of Indigo.mid,n/a,"Hoeptner, Fred",N
7597,Roache/Lone Jack To Knob Noster.mid,1993,"Rummel, Jack T.",Y
8988,Roache/Niantic By The Sea.mid,1994,"Wilkes, Galen",Y
11595,Roache/Rose Blossoms.mid,1990,"Brier, Tom",Y
92,Hiawatha and Radna/Adroit Imposter  The.mid,2009,"Radna, Rudolf B.",Y
432,Hiawatha and Radna/Antifreeze Rag.mid,2009,"Radna, Rudolf B.",Y
526,Hiawatha and Radna/Artichoke Rag.mid,2009,"Radna, Rudolf B.",Y
1378,Hiawatha and Radna/Brain Rag.mid,2009,"Radna, Rudolf B.",Y
1380,Hiawatha and Radna/Braintree Street Rag.mid,2009,"Radna, Rudolf B.",Y
1393,Hiawatha and Radna/Breadfruit Rag.mid,2009,"Radna, Rudolf B.",Y
1823,Hiawatha and Radna/Cantaloupe Rag.mid,2009,"Radna, Rudolf B.",Y
1843,Hiawatha and Radna/Carbon Rag.mid,2009,"Radna, Rudolf B.",Y
1844,Hiawatha and Radna/Cardboard Rag.mid,2009,"Radna, Rudolf B.",Y
2232,Hiawatha and Radna/Cinnamon Rag.mid,2009,"Radna, Rudolf B.",Y
2249,Hiawatha and Radna/Claptrap.mid,2010,Hiawatha,I
2341,Hiawatha and Radna/Coffee Cake Rag.mid,2009,"Radna, Rudolf B.",Y
2346,Hiawatha and Radna/Coffin House Rag.mid,2009,"Radna, Rudolf B.",Y
2612,Hiawatha and Radna/Cornucopia Rag.mid,2009,"Radna, Rudolf B.",Y
2624,Hiawatha and Radna/Cosmopolitan Rag.mid,2009,"Radna, Rudolf B.",Y
2870,Hiawatha and Radna/Cyclops Rag.mid,2009,"Radna, Rudolf B.",Y
3227,Hiawatha and Radna/Diapason Rag.mid,2009,"Radna, Rudolf B.",Y
3708,Hiawatha and Radna/Eating Library Paste.mid,2004,Hiawatha,Y
3841,Hiawatha and Radna/End Street Rag.mid,2009,"Radna, Rudolf B.",Y
3864,Hiawatha and Radna/Erratica.mid,2004,Hiawatha,N
3898,Hiawatha and Radna/Eugene Rag.mid,2004,Hiawatha,I
4023,Hiawatha and Radna/Fairground Rag.mid,2009,"Radna, Rudolf B.",Y
4562,Hiawatha and Radna/Funhouse Rag.mid,2009,"Radna, Rudolf B.",Y
4630,Hiawatha and Radna/Gargoyle Rag.mid,2009,"Radna, Rudolf B.",Y
4767,Hiawatha and Radna/Gillygaloo Rag.mid,2010,Hiawatha,Y
4879,Hiawatha and Radna/Golden Apple Rag.mid,2009,"Radna, Rudolf B.",Y
4998,Hiawatha and Radna/Graffiti Rag.mid,2009,"Radna, Rudolf B.",Y
5028,Hiawatha and Radna/Gray Sky Rag.mid,2009,"Radna, Rudolf B.",Y
5107,Hiawatha and Radna/Halcyon Rag.mid,2009,"Radna, Rudolf B.",Y
5112,Hiawatha and Radna/Half Moon Rag.mid,2009,"Radna, Rudolf B.",Y
5115,Hiawatha and Radna/Half Vast Rag  The.mid,2009,Hiawatha,I
5226,Hiawatha and Radna/Harbor Street Rag.mid,2009,"Radna, Rudolf B.",Y
5527,Hiawatha and Radna/Home Run Rag.mid,2009,"Radna, Rudolf B.",Y
5718,Hiawatha and Radna/Hotel Rag.mid,2009,"Radna, Rudolf B.",Y
6070,Hiawatha and Radna/Ice Wine Rag.mid,2009,"Radna, Rudolf B.",Y
6371,Hiawatha and Radna/Inauguration Rag.mid,2009,"Radna, Rudolf B.",Y
6604,Hiawatha and Radna/Ivy Rag.mid,2009,"Radna, Rudolf B.",Y
6794,Hiawatha and Radna/John Stark Naked.mid,2007,Hiawatha,I
7080,Hiawatha and Radna/Kerosene Rag.mid,2009,"Radna, Rudolf B.",Y
7087,Hiawatha and Radna/Ketchup Catch-Up.mid,2010,Hiawatha,Y
7101,Hiawatha and Radna/Kickshaw Rag.mid,2010,Hiawatha,Y
7408,Hiawatha and Radna/Lessor Of Two Weevils.mid,2009,Hiawatha,I
7483,Hiawatha and Radna/Limeade Rag.mid,2009,"Radna, Rudolf B.",Y
7489,Hiawatha and Radna/Lincoln Square Rag.mid,2009,"Radna, Rudolf B.",Y
7585,Hiawatha and Radna/Lobster Rag.mid,2009,"Radna, Rudolf B.",Y
7631,Hiawatha and Radna/Longshot Rag.mid,2009,"Radna, Rudolf B.",Y
7729,Hiawatha and Radna/Lowbrow Rag.mid,2009,"Radna, Rudolf B.",Y
7779,Hiawatha and Radna/Lye Rag.mid,2009,"Radna, Rudolf B.",Y
7832,Hiawatha and Radna/Magenta Rag.mid,2009,"Radna, Rudolf B.",Y
8040,Hiawatha and Radna/Martini Rag.mid,2009,"Radna, Rudolf B.",Y
8452,Hiawatha and Radna/Molly Coddle.mid,1907,"De Van, Julius",R
8529,Hiawatha and Radna/Moonstone Rag.mid,2009,"Radna, Rudolf B.",Y
8558,Hiawatha and Radna/Morrigan's Cakewalk.mid,2009,"Radna, Rudolf B.",Y
8639,Hiawatha and Radna/Mundungus.mid,2009,Hiawatha,Y
8870,Hiawatha and Radna/Necromania Rag.mid,1990,Hiawatha,Y
8939,Hiawatha and Radna/New London Rag.mid,2006,"Radna, Rudolf B.",Y
8969,Hiawatha and Radna/New Years Rag.mid,2008,"Radna, Rudolf B.",Y
8982,Hiawatha and Radna/Newport Rambler  The.mid,2009,"Radna, Rudolf B.",Y
9060,Hiawatha and Radna/No Name Key Rag.mid,2009,"Radna, Rudolf B.",Y
9197,Hiawatha and Radna/Ofay Honky Stomp.mid,2001,Hiawatha,Y
9381,Hiawatha and Radna/Old Washboard Rag.mid,2009,"Radna, Rudolf B.",Y
9401,Hiawatha and Radna/Olive Rag.mid,2009,"Radna, Rudolf B.",Y
9473,Hiawatha and Radna/One For Scott.mid,2006,Hiawatha,I
9913,Hiawatha and Radna/Pi.mid,2005,Hiawatha,I
10021,Hiawatha and Radna/Pie in the Sky Rag.mid,2009,"Radna, Rudolf B.",Y
10140,Hiawatha and Radna/Pocket Rag.mid,2009,"Radna, Rudolf B.",Y
10148,Hiawatha and Radna/Poison Oak Leaf Rag.mid,2005,Hiawatha,Y
10350,Hiawatha and Radna/Prussia White.mid,2009,"Radna, Rudolf B.",Y
10484,Hiawatha and Radna/Radiation Rag.mid,2009,"Radna, Rudolf B.",Y
10560,Hiawatha and Radna/Rag Man Cometh  The.mid,2009,"Radna, Rudolf B.",Y
11040,"Hiawatha and Radna/Ragtime Thunderstorm, A.mid",2009,"Radna, Rudolf B.",Y
11284,Hiawatha and Radna/Red Glasses.mid,2009,"Radna, Rudolf B.",Y
11518,Hiawatha and Radna/Robber Fly Rag.mid,2009,"Radna, Rudolf B.",Y
11751,Hiawatha and Radna/Saguaro Rag.mid,2009,"Radna, Rudolf B.",Y
11762,Hiawatha and Radna/Saki Rag.mid,2009,"Radna, Rudolf B.",Y
11848,Hiawatha and Radna/Sarsaparilla Rag.mid,2009,"Radna, Rudolf B.",Y
11870,Hiawatha and Radna/Saturnian Rag.mid,2009,"Radna, Rudolf B.",Y
11928,Hiawatha and Radna/Scissor Rag.mid,2009,"Radna, Rudolf B.",Y
12019,Hiawatha and Radna/Sepia Rag.mid,2009,"Radna, Rudolf B.",Y
12150,Hiawatha and Radna/Shortstop  The.mid,2009,"Radna, Rudolf B.",Y
12305,Hiawatha and Radna/Skulduggery Rag.mid,2009,"Radna, Rudolf B.",Y
12411,Hiawatha and Radna/Smokehouse Rag.mid,2009,"Radna, Rudolf B.",Y
12480,Hiawatha and Radna/Socialite Rag.mid,2009,"Radna, Rudolf B.",Y
12586,Hiawatha and Radna/Sostenuto Rag.mid,2009,"Radna, Rudolf B.",Y
12595,Hiawatha and Radna/Soundview Rag.mid,2009,"Radna, Rudolf B.",Y
12765,Hiawatha and Radna/Spumoni Rag.mid,2009,"Radna, Rudolf B.",Y
12766,Hiawatha and Radna/Spuyten Duyvil Rag.mid,2009,"Radna, Rudolf B.",Y
13172,Hiawatha and Radna/Sweatman's Trunk.mid,2009,"Radna, Rudolf B.",Y
13330,Hiawatha and Radna/Syzygy.mid,2000,Hiawatha,Y
13373,Hiawatha and Radna/Talisman Rag.mid,2009,"Radna, Rudolf B.",Y
13454,Hiawatha and Radna/Taupe Rag.mid,2009,"Radna, Rudolf B.",Y
14403,Hiawatha and Radna/Tuxedo Vegas.mid,2009,"Radna, Rudolf B.",Y
14478,Hiawatha and Radna/Umbrella Rag.mid,2009,"Radna, Rudolf B.",Y
14595,Hiawatha and Radna/Valencia Rag.mid,2009,"Radna, Rudolf B.",Y
14667,Hiawatha and Radna/Vinegar Rag.mid,2009,"Radna, Rudolf B.",Y
14738,Hiawatha and Radna/Waikiki Rag.mid,2009,"Radna, Rudolf B.",Y
14781,Hiawatha and Radna/Walnut Rag.mid,2009,"Radna, Rudolf B.",Y
15188,Hiawatha and Radna/Whore Of Babylon.mid,2009,"Radna, Rudolf B.",Y
15321,Hiawatha and Radna/Wolf Spider Rag.mid,2009,"Radna, Rudolf B.",Y
15331,Hiawatha and Radna/Wonderland Rag.mid,2009,"Radna, Rudolf B.",Y
15384,Hiawatha and Radna/Xenium  The.mid,2010,Hiawatha,I
15459,Hiawatha and Radna/Yonkers Rag.mid,2009,"Radna, Rudolf B.",Y
241,Wilson/Alaskan Rag  The.mid,n/a,"Lamb, Joseph F.",R
342,Wilson/Amatory Hallucination Rag.mid,1976,"Kaye, Milton",Y
500,Wilson/Arctic Sunset.mid,1959,"Lamb, Joseph F.",R
685,"Wilson/Babe, It's Too Long Off.mid",1906,"Chauvin, Louis",S
1138,Wilson/Blackville Society Cake Walk.mid,1899,"Franklin, Bernard",R
1402,"Wilson/Breeze From Blackville, A.mid",1899,"McGrath, F. T.",R
1483,Wilson/Brun Campbell Express.mid,1966,"Shea, Thomas W.",Y
1620,Wilson/Buzzer Rag.mid,1909,"Aufderheide, May Frances",R
1705,Wilson/Cake-Walk In The Sky  The.mid,1899,"Harney, Ben (arr. Meacham, F. W.)",R
1717,Wilson/Cakewalkin' Shoes.mid,1964,"Morath, Max",S
1738,Wilson/California Porcupine Rag.mid,n/a,"Bolcom, William",Y
1832,Wilson/Caprice Rag.mid,n/a,"Johnson, James P.",R
1880,Wilson/Carolina Fox Trot.mid,1914,"Vodery, Will H.",R
1984,Wilson/Century Prize.mid,1966,"Marshall, Arthur",M
2023,Wilson/Charleston Chuckles.mid,1925,"Confrey, Zez",N
2077,Wilson/Chestnut Valley Rag.mid,1966,"Tichenor, Trebor Jay",Y
2145,Wilson/Chimes Of Dixie.mid,1960,"Lamb, Joseph F.",R
2344,Wilson/Coffee Rag.mid,1915,"Coffee, Lily",R
2711,Wilson/Cracked Ice Rag.mid,1918,"Cobb, George L.",R
2895,Wilson/Daintiness Rag.mid,n/a,"Johnson, James P.",R
3123,Wilson/Dead Man Blues.mid,1926,"Morton, Jelly Roll",N
3641,Wilson/Dusky Dudes.mid,1899,"Schwartz, Jean",M
3858,Wilson/Epitaph For Louis Chauvin.mid,n/a,"Bolcom, William",Y
3859,Wilson/Epithalamium.mid,1993,"Bolcom, William",N
3978,Wilson/Evolution Rag.mid,1912,"Allen, Thomas S.",R
4335,Wilson/Foot Warmer  The.mid,1914,"Puck, Harry",R
4464,Wilson/Friday Night.mid,1966,"Ashwander, Donald",Y
4483,Wilson/Frisco Frazzle.mid,1912,"Johnson, Nat",R
4675,Wilson/Geo. Cohan's Rag.mid,1910,"Cohan, George M.",R
4705,Wilson/Georgia Rainbow.mid,1916,"Cobb, George L. (as Gordon, Leo)",F
4872,Wilson/Gold Bar Rag.mid,1964,"Morath, Max",Y
4910,Wilson/Good And Plenty Rag.mid,n/a,"Lamb, Joseph F.",R
4946,Wilson/Good Years  The.mid,1964,"Hardy, Teddie Beth",Y
5235,Wilson/Harem Scarem Rag.mid,1912,"Trombley, George Lem",R
5791,Wilson/Humorestless.mid,1925,"Confrey, Zez",N
5974,"Wilson/I May Be Crazy, But I Ain't No Fool.mid",1904,"Rogers, Alex",S
6007,Wilson/I Want A Patriotic Girl.mid,1911,"Aufderheide, May Frances",S
6227,Wilson/I'm Going On A Long Vacation.mid,1910,"Snyder, Ted",S
6277,Wilson/I'm Tired Of Everything But You.mid,1925,"Jones, Isham Edgar",S
6376,Wilson/Incineratorag.mid,n/a,"Bolcom, William",Y
6478,Wilson/Is There Anything Else I Can Do For You?.mid,1910,"Snyder, Ted",S
6800,Wilson/Johnson Rag.mid,1917,"Kleinkauf, Henry & Hall, Guy",F
7036,Wilson/Keep The Home Fires Burning.mid,1915,"Novello, Ivor",S
7300,Wilson/Last Rag.mid,n/a,"Bolcom, William",Y
7534,Wilson/Little Jack's Rag.mid,1976,"Marshall, Arthur",Y
7584,Wilson/Lobster Glide  The.mid,1909,"Franklin, Malvin M.",R
8068,Wilson/Mattapan Rag.mid,1981,"Carriker, Robert",Y
8552,Wilson/Morning Reveries.mid,n/a,"Albright, William",Y
8748,Wilson/My Little Bimbo.mid,1920,"Donaldson, Walter",S
8817,Wilson/My Wife's Gone To The Country!.mid,1909,"Snyder, Ted",S
8914,Wilson/New Black Eagle Buck  The.mid,1976,"Morath, Max",Y
8949,Wilson/New Orleans Hop Scop Blues.mid,1916,"Thomas, George W.",S
8992,Wilson/Nickel In The Slot.mid,1923,"Confrey, Zez",N
9066,Wilson/No One Could Do It Like My Father!.mid,1909,"Snyder, Ted",S
9216,Wilson/Oh That Beautiful Rag.mid,1910,"Snyder, Ted",R
9336,Wilson/Old Home Rag  The.mid,n/a,"Lamb, Joseph F.",R
9442,Wilson/On The Old Dominion Line.mid,1916,"Botsford, George",S
9461,Wilson/One For Amelia.mid,1964,"Morath, Max",Y
9472,Wilson/One For Norma.mid,1976,"Morath, Max",Y
9515,Wilson/Opera House Rag.mid,1960,"Darch, Robert R.",Y
9639,Wilson/Palm Beach.mid,1914,"Roberts, C. ""Lucky""",F
9648,Wilson/Pan-Am Rag.mid,1914,"Turpin, Tom",R
9787,Wilson/Pear Blossoms.mid,n/a,"Hayden, Scott",R
9921,Wilson/Piano Man.mid,1910,"Berlin, Irving & Snyder, Ted",S
10046,Wilson/Pine Apple Rag .mid,1910,"Joplin, Scott",S
10172,Wilson/Polyragmic.mid,1964,"Morath, Max",Y
10184,Wilson/Poor Buttermilk.mid,1921,"Confrey, Zez",N
10725,Wilson/Raggin' Rudi.mid,1974,"Bolcom, William",Y
10827,Wilson/Ragtime Bobolink.mid,n/a,"Lamb, Joseph F.",R
10943,Wilson/Ragtime Mocking Bird.mid,1912,"Berlin, Irving",S
11158,Wilson/Rastus On Parade.mid,1895,"Mills, Kerry",R
11313,Wilson/Red Rambler Rag.mid,1912,"Niebergall, Julia Lee",R
11572,Wilson/Romantic Rag.mid,1976,"Craig, Kathy",Y
11677,Wilson/Rufenreddy.mid,1922,"Straight, Charles",R
11756,Wilson/Sailing Down The Chesapeake Bay.mid,1913,"Botsford, George",S
11823,Wilson/Sandpoint Rag.mid,1986,"Schuller, Gunther",Y
